needid,NeedTitle,Description,Agencyid,AgencyName,category,agencyaddress,agencycity,agencystate,agencyzip,phone,email
2884,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Los Angeles,18032,Los Angeles Urban League,Income,3450 Mt Vernon Drive ,Los Angeles,CA  ,90008,555-123-8032,fake18032@email.com
2885,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles",18029,Los Angeles Team Mentoring Inc,BasicNeeds,"714 W. Olympic Blvd., #940",Los Angeles,CA  ,90015,555-123-8029,fake18029@email.com
2886,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles,18029,Los Angeles Team Mentoring Inc,BasicNeeds,"714 W. Olympic Blvd., #940",Los Angeles,CA  ,90015,555-123-8029,fake18029@email.com
2887,Donation sorting,Help Process Gifts for an Organization in Los Angeles,18029,Los Angeles Team Mentoring Inc,BasicNeeds,"714 W. Olympic Blvd., #940",Los Angeles,CA  ,90015,555-123-8029,fake18029@email.com
2888,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles,18029,Los Angeles Team Mentoring Inc,BasicNeeds,"714 W. Olympic Blvd., #940",Los Angeles,CA  ,90015,555-123-8029,fake18029@email.com
2889,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles,18029,Los Angeles Team Mentoring Inc,BasicNeeds,"714 W. Olympic Blvd., #940",Los Angeles,CA  ,90015,555-123-8029,fake18029@email.com
2890,Book/literacy fairs,Help organize a literary and book fair in Los Angeles         ,18017,Los Angeles Philharmonic Association,Education,151 South Grand Avenue ,Los Angeles         ,CA  ,90012,555-123-8017,fake18017@email.com
2891,Career Days,Help organize a career day at an agency or school in Los Angeles         ,18017,Los Angeles Philharmonic Association,Education,151 South Grand Avenue ,Los Angeles         ,CA  ,90012,555-123-8017,fake18017@email.com
2892,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Los Angeles         ,18017,Los Angeles Philharmonic Association,Education,151 South Grand Avenue ,Los Angeles         ,CA  ,90012,555-123-8017,fake18017@email.com
2893,After-school homework help/tutoring,Tutor students after school in Los Angeles         ,18017,Los Angeles Philharmonic Association,Education,151 South Grand Avenue ,Los Angeles         ,CA  ,90012,555-123-8017,fake18017@email.com
2894,Mentoring,Mentor a Teenager in Los Angeles         ,18017,Los Angeles Philharmonic Association,Education,151 South Grand Avenue ,Los Angeles         ,CA  ,90012,555-123-8017,fake18017@email.com
2895,Graduations,Help at a High School student graduation ceremony in Los Angeles         ,18017,Los Angeles Philharmonic Association,Education,151 South Grand Avenue ,Los Angeles         ,CA  ,90012,555-123-8017,fake18017@email.com
2896,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles         ",18012,Los Angeles Mission Inc.,BasicNeeds, P O Box 55900 ,Los Angeles         ,CA  ,90055,555-123-8012,fake18012@email.com
2897,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles         ,18012,Los Angeles Mission Inc.,BasicNeeds, P O Box 55900 ,Los Angeles         ,CA  ,90055,555-123-8012,fake18012@email.com
2898,Donation sorting,Help Process Gifts for an Organization in Los Angeles         ,18012,Los Angeles Mission Inc.,BasicNeeds, P O Box 55900 ,Los Angeles         ,CA  ,90055,555-123-8012,fake18012@email.com
2899,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles         ,18012,Los Angeles Mission Inc.,BasicNeeds, P O Box 55900 ,Los Angeles         ,CA  ,90055,555-123-8012,fake18012@email.com
2900,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles         ,18012,Los Angeles Mission Inc.,BasicNeeds, P O Box 55900 ,Los Angeles         ,CA  ,90055,555-123-8012,fake18012@email.com
2901,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles",18001,The Saban Free Clinic,BasicNeeds,8405 Beverly Boulevard ,Los Angeles,CA  ,90048,555-123-8001,fake18001@email.com
2902,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles,18001,The Saban Free Clinic,BasicNeeds,8405 Beverly Boulevard ,Los Angeles,CA  ,90048,555-123-8001,fake18001@email.com
2903,Donation sorting,Help Process Gifts for an Organization in Los Angeles,18001,The Saban Free Clinic,BasicNeeds,8405 Beverly Boulevard ,Los Angeles,CA  ,90048,555-123-8001,fake18001@email.com
2904,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles,18001,The Saban Free Clinic,BasicNeeds,8405 Beverly Boulevard ,Los Angeles,CA  ,90048,555-123-8001,fake18001@email.com
2905,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles,18001,The Saban Free Clinic,BasicNeeds,8405 Beverly Boulevard ,Los Angeles,CA  ,90048,555-123-8001,fake18001@email.com
2906,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles         ",17997,CARES LAC USC Medical Center Auxiliary,BasicNeeds,1200 North State Street #1900,Los Angeles         ,CA  ,90033,555-123-7997,fake17997@email.com
2907,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles         ,17997,CARES LAC USC Medical Center Auxiliary,BasicNeeds,1200 North State Street #1900,Los Angeles         ,CA  ,90033,555-123-7997,fake17997@email.com
2908,Donation sorting,Help Process Gifts for an Organization in Los Angeles         ,17997,CARES LAC USC Medical Center Auxiliary,BasicNeeds,1200 North State Street #1900,Los Angeles         ,CA  ,90033,555-123-7997,fake17997@email.com
2909,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles         ,17997,CARES LAC USC Medical Center Auxiliary,BasicNeeds,1200 North State Street #1900,Los Angeles         ,CA  ,90033,555-123-7997,fake17997@email.com
2910,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles         ,17997,CARES LAC USC Medical Center Auxiliary,BasicNeeds,1200 North State Street #1900,Los Angeles         ,CA  ,90033,555-123-7997,fake17997@email.com
2911,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Downey",17996,Los Angeles County Public Library Foundation,BasicNeeds,7400 East Imperial Highway ,Downey,CA  ,90242,555-123-7996,fake17996@email.com
2912,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Downey,17996,Los Angeles County Public Library Foundation,BasicNeeds,7400 East Imperial Highway ,Downey,CA  ,90242,555-123-7996,fake17996@email.com
2913,Donation sorting,Help Process Gifts for an Organization in Downey,17996,Los Angeles County Public Library Foundation,BasicNeeds,7400 East Imperial Highway ,Downey,CA  ,90242,555-123-7996,fake17996@email.com
2914,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Downey,17996,Los Angeles County Public Library Foundation,BasicNeeds,7400 East Imperial Highway ,Downey,CA  ,90242,555-123-7996,fake17996@email.com
2915,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Downey,17996,Los Angeles County Public Library Foundation,BasicNeeds,7400 East Imperial Highway ,Downey,CA  ,90242,555-123-7996,fake17996@email.com
2916,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Redondo Beach",17991,Los Angeles County Lifeguard Association - Trust Fund,BasicNeeds,524 Garnet St B,Redondo Beach,CA  ,90277,555-123-7991,fake17991@email.com
2917,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Redondo Beach,17991,Los Angeles County Lifeguard Association - Trust Fund,BasicNeeds,524 Garnet St B,Redondo Beach,CA  ,90277,555-123-7991,fake17991@email.com
2918,Donation sorting,Help Process Gifts for an Organization in Redondo Beach,17991,Los Angeles County Lifeguard Association - Trust Fund,BasicNeeds,524 Garnet St B,Redondo Beach,CA  ,90277,555-123-7991,fake17991@email.com
2919,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Redondo Beach,17991,Los Angeles County Lifeguard Association - Trust Fund,BasicNeeds,524 Garnet St B,Redondo Beach,CA  ,90277,555-123-7991,fake17991@email.com
2920,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Redondo Beach,17991,Los Angeles County Lifeguard Association - Trust Fund,BasicNeeds,524 Garnet St B,Redondo Beach,CA  ,90277,555-123-7991,fake17991@email.com
2921,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles         ",17989,Los Angeles County High School For The Arts Foudation,BasicNeeds,5151 University Drive ,Los Angeles         ,CA  ,90032,555-123-7989,fake17989@email.com
2922,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles         ,17989,Los Angeles County High School For The Arts Foudation,BasicNeeds,5151 University Drive ,Los Angeles         ,CA  ,90032,555-123-7989,fake17989@email.com
2923,Donation sorting,Help Process Gifts for an Organization in Los Angeles         ,17989,Los Angeles County High School For The Arts Foudation,BasicNeeds,5151 University Drive ,Los Angeles         ,CA  ,90032,555-123-7989,fake17989@email.com
2924,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles         ,17989,Los Angeles County High School For The Arts Foudation,BasicNeeds,5151 University Drive ,Los Angeles         ,CA  ,90032,555-123-7989,fake17989@email.com
2925,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles         ,17989,Los Angeles County High School For The Arts Foudation,BasicNeeds,5151 University Drive ,Los Angeles         ,CA  ,90032,555-123-7989,fake17989@email.com
2926,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles         ",17983,Los Angeles Conservation Corps,BasicNeeds, P. O. Box 15868 ,Los Angeles         ,CA  ,90015,555-123-7983,fake17983@email.com
2927,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles         ,17983,Los Angeles Conservation Corps,BasicNeeds, P. O. Box 15868 ,Los Angeles         ,CA  ,90015,555-123-7983,fake17983@email.com
2928,Donation sorting,Help Process Gifts for an Organization in Los Angeles         ,17983,Los Angeles Conservation Corps,BasicNeeds, P. O. Box 15868 ,Los Angeles         ,CA  ,90015,555-123-7983,fake17983@email.com
2929,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles         ,17983,Los Angeles Conservation Corps,BasicNeeds, P. O. Box 15868 ,Los Angeles         ,CA  ,90015,555-123-7983,fake17983@email.com
2930,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles         ,17983,Los Angeles Conservation Corps,BasicNeeds, P. O. Box 15868 ,Los Angeles         ,CA  ,90015,555-123-7983,fake17983@email.com
2931,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles",17981,Peace Over Violence,BasicNeeds,1015 Wilshire Boulevard 200,Los Angeles,CA  ,90017,555-123-7981,fake17981@email.com
2932,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles,17981,Peace Over Violence,BasicNeeds,1015 Wilshire Boulevard 200,Los Angeles,CA  ,90017,555-123-7981,fake17981@email.com
2933,Donation sorting,Help Process Gifts for an Organization in Los Angeles,17981,Peace Over Violence,BasicNeeds,1015 Wilshire Boulevard 200,Los Angeles,CA  ,90017,555-123-7981,fake17981@email.com
2934,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles,17981,Peace Over Violence,BasicNeeds,1015 Wilshire Boulevard 200,Los Angeles,CA  ,90017,555-123-7981,fake17981@email.com
2935,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles,17981,Peace Over Violence,BasicNeeds,1015 Wilshire Boulevard 200,Los Angeles,CA  ,90017,555-123-7981,fake17981@email.com
2936,Book/literacy fairs,Help organize a literary and book fair in Los Angeles,17975,Los Angeles Chamber Orchestra,Education,"350 South Figueroa St., Suite 183",Los Angeles,CA  ,90071,555-123-7975,fake17975@email.com
2937,Career Days,Help organize a career day at an agency or school in Los Angeles,17975,Los Angeles Chamber Orchestra,Education,"350 South Figueroa St., Suite 183",Los Angeles,CA  ,90071,555-123-7975,fake17975@email.com
2938,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Los Angeles,17975,Los Angeles Chamber Orchestra,Education,"350 South Figueroa St., Suite 183",Los Angeles,CA  ,90071,555-123-7975,fake17975@email.com
2939,After-school homework help/tutoring,Tutor students after school in Los Angeles,17975,Los Angeles Chamber Orchestra,Education,"350 South Figueroa St., Suite 183",Los Angeles,CA  ,90071,555-123-7975,fake17975@email.com
2940,Mentoring,Mentor a Teenager in Los Angeles,17975,Los Angeles Chamber Orchestra,Education,"350 South Figueroa St., Suite 183",Los Angeles,CA  ,90071,555-123-7975,fake17975@email.com
2941,Graduations,Help at a High School student graduation ceremony in Los Angeles,17975,Los Angeles Chamber Orchestra,Education,"350 South Figueroa St., Suite 183",Los Angeles,CA  ,90071,555-123-7975,fake17975@email.com
2942,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Long Beach          ",17961,Long Beach Rescue Mission                                                                                               ,BasicNeeds, P O Box 1969 ,Long Beach          ,CA  ,90801,555-123-7961,fake17961@email.com
2943,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Long Beach          ,17961,Long Beach Rescue Mission                                                                                               ,BasicNeeds, P O Box 1969 ,Long Beach          ,CA  ,90801,555-123-7961,fake17961@email.com
2944,Donation sorting,Help Process Gifts for an Organization in Long Beach          ,17961,Long Beach Rescue Mission                                                                                               ,BasicNeeds, P O Box 1969 ,Long Beach          ,CA  ,90801,555-123-7961,fake17961@email.com
2945,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Long Beach          ,17961,Long Beach Rescue Mission                                                                                               ,BasicNeeds, P O Box 1969 ,Long Beach          ,CA  ,90801,555-123-7961,fake17961@email.com
2946,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Long Beach          ,17961,Long Beach Rescue Mission                                                                                               ,BasicNeeds, P O Box 1969 ,Long Beach          ,CA  ,90801,555-123-7961,fake17961@email.com
2947,Childcare,Help provide childcare at an agency serving families in poverty in Long Beach,17949,Long Beach Day Nursery,Income,1548 Chestnut Avenue ,Long Beach,CA  ,90813,555-123-7949,fake17949@email.com
2948,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Long Beach,17949,Long Beach Day Nursery,Income,1548 Chestnut Avenue ,Long Beach,CA  ,90813,555-123-7949,fake17949@email.com
2949,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Long Beach,17949,Long Beach Day Nursery,Income,1548 Chestnut Avenue ,Long Beach,CA  ,90813,555-123-7949,fake17949@email.com
2950,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Long Beach,17949,Long Beach Day Nursery,Income,1548 Chestnut Avenue ,Long Beach,CA  ,90813,555-123-7949,fake17949@email.com
2951,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Long Beach,17949,Long Beach Day Nursery,Income,1548 Chestnut Avenue ,Long Beach,CA  ,90813,555-123-7949,fake17949@email.com
2952,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Long Beach,17949,Long Beach Day Nursery,Income,1548 Chestnut Avenue ,Long Beach,CA  ,90813,555-123-7949,fake17949@email.com
2953,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Long Beach          ",17944,Long Beach Community Improvement League                                                                                 ,BasicNeeds,2222 Olive Avenue ,Long Beach          ,CA  ,90806,555-123-7944,fake17944@email.com
2954,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Long Beach          ,17944,Long Beach Community Improvement League                                                                                 ,BasicNeeds,2222 Olive Avenue ,Long Beach          ,CA  ,90806,555-123-7944,fake17944@email.com
2955,Donation sorting,Help Process Gifts for an Organization in Long Beach          ,17944,Long Beach Community Improvement League                                                                                 ,BasicNeeds,2222 Olive Avenue ,Long Beach          ,CA  ,90806,555-123-7944,fake17944@email.com
2956,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Long Beach          ,17944,Long Beach Community Improvement League                                                                                 ,BasicNeeds,2222 Olive Avenue ,Long Beach          ,CA  ,90806,555-123-7944,fake17944@email.com
2957,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Long Beach          ,17944,Long Beach Community Improvement League                                                                                 ,BasicNeeds,2222 Olive Avenue ,Long Beach          ,CA  ,90806,555-123-7944,fake17944@email.com
2958,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Loma Linda          ",17912,Seven Day Adventists Loma Linda University Medical Center Inc.,BasicNeeds, P.O. Box 2000 ,Loma Linda          ,CA  ,92354,555-123-7912,fake17912@email.com
2959,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Loma Linda          ,17912,Seven Day Adventists Loma Linda University Medical Center Inc.,BasicNeeds, P.O. Box 2000 ,Loma Linda          ,CA  ,92354,555-123-7912,fake17912@email.com
2960,Donation sorting,Help Process Gifts for an Organization in Loma Linda          ,17912,Seven Day Adventists Loma Linda University Medical Center Inc.,BasicNeeds, P.O. Box 2000 ,Loma Linda          ,CA  ,92354,555-123-7912,fake17912@email.com
2961,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Loma Linda          ,17912,Seven Day Adventists Loma Linda University Medical Center Inc.,BasicNeeds, P.O. Box 2000 ,Loma Linda          ,CA  ,92354,555-123-7912,fake17912@email.com
2962,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Loma Linda          ,17912,Seven Day Adventists Loma Linda University Medical Center Inc.,BasicNeeds, P.O. Box 2000 ,Loma Linda          ,CA  ,92354,555-123-7912,fake17912@email.com
2963,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles         ",17848,Little Tokyo Service Center,BasicNeeds,231 East 3rd Street G-106,Los Angeles         ,CA  ,90013,555-123-7848,fake17848@email.com
2964,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles         ,17848,Little Tokyo Service Center,BasicNeeds,231 East 3rd Street G-106,Los Angeles         ,CA  ,90013,555-123-7848,fake17848@email.com
2965,Donation sorting,Help Process Gifts for an Organization in Los Angeles         ,17848,Little Tokyo Service Center,BasicNeeds,231 East 3rd Street G-106,Los Angeles         ,CA  ,90013,555-123-7848,fake17848@email.com
2966,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles         ,17848,Little Tokyo Service Center,BasicNeeds,231 East 3rd Street G-106,Los Angeles         ,CA  ,90013,555-123-7848,fake17848@email.com
2967,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles         ,17848,Little Tokyo Service Center,BasicNeeds,231 East 3rd Street G-106,Los Angeles         ,CA  ,90013,555-123-7848,fake17848@email.com
2968,Childcare,Help provide childcare at an agency serving families in poverty in Los Angeles         ,17834,Little Flower Missionary House                                                                                          ,Income,2434 Gates St ,Los Angeles         ,CA  ,90031,555-123-7834,fake17834@email.com
2969,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Los Angeles         ,17834,Little Flower Missionary House                                                                                          ,Income,2434 Gates St ,Los Angeles         ,CA  ,90031,555-123-7834,fake17834@email.com
2970,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Los Angeles         ,17834,Little Flower Missionary House                                                                                          ,Income,2434 Gates St ,Los Angeles         ,CA  ,90031,555-123-7834,fake17834@email.com
2971,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Los Angeles         ,17834,Little Flower Missionary House                                                                                          ,Income,2434 Gates St ,Los Angeles         ,CA  ,90031,555-123-7834,fake17834@email.com
2972,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Los Angeles         ,17834,Little Flower Missionary House                                                                                          ,Income,2434 Gates St ,Los Angeles         ,CA  ,90031,555-123-7834,fake17834@email.com
2973,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Los Angeles         ,17834,Little Flower Missionary House                                                                                          ,Income,2434 Gates St ,Los Angeles         ,CA  ,90031,555-123-7834,fake17834@email.com
2974,Childcare,Help provide childcare at an agency serving families in poverty in Los Angeles,17816,Jewish Vocational Services,Income,6505 Wilshire Blvd 700,Los Angeles,CA  ,90048,555-123-7816,fake17816@email.com
2975,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Los Angeles,17816,Jewish Vocational Services,Income,6505 Wilshire Blvd 700,Los Angeles,CA  ,90048,555-123-7816,fake17816@email.com
2976,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Los Angeles,17816,Jewish Vocational Services,Income,6505 Wilshire Blvd 700,Los Angeles,CA  ,90048,555-123-7816,fake17816@email.com
2977,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Los Angeles,17816,Jewish Vocational Services,Income,6505 Wilshire Blvd 700,Los Angeles,CA  ,90048,555-123-7816,fake17816@email.com
2978,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Los Angeles,17816,Jewish Vocational Services,Income,6505 Wilshire Blvd 700,Los Angeles,CA  ,90048,555-123-7816,fake17816@email.com
2979,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Los Angeles,17816,Jewish Vocational Services,Income,6505 Wilshire Blvd 700,Los Angeles,CA  ,90048,555-123-7816,fake17816@email.com
2980,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in El Monte            ",17796,Lincoln Training Center                                                                                                 ,BasicNeeds,2643 N Loma Ave ,El Monte            ,CA  ,91733,555-123-7796,fake17796@email.com
2981,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in El Monte            ,17796,Lincoln Training Center                                                                                                 ,BasicNeeds,2643 N Loma Ave ,El Monte            ,CA  ,91733,555-123-7796,fake17796@email.com
2982,Donation sorting,Help Process Gifts for an Organization in El Monte            ,17796,Lincoln Training Center                                                                                                 ,BasicNeeds,2643 N Loma Ave ,El Monte            ,CA  ,91733,555-123-7796,fake17796@email.com
2983,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in El Monte            ,17796,Lincoln Training Center                                                                                                 ,BasicNeeds,2643 N Loma Ave ,El Monte            ,CA  ,91733,555-123-7796,fake17796@email.com
2984,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in El Monte            ,17796,Lincoln Training Center                                                                                                 ,BasicNeeds,2643 N Loma Ave ,El Monte            ,CA  ,91733,555-123-7796,fake17796@email.com
2985,Book/literacy fairs,Help organize a literary and book fair in San Diego           ,17738,Leukemia &Lymphoma Society of America San Diego County,Education,9150 Chesapeake Drive #100,San Diego           ,CA  ,92123,555-123-7738,fake17738@email.com
2986,Career Days,Help organize a career day at an agency or school in San Diego           ,17738,Leukemia &Lymphoma Society of America San Diego County,Education,9150 Chesapeake Drive #100,San Diego           ,CA  ,92123,555-123-7738,fake17738@email.com
2987,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in San Diego           ,17738,Leukemia &Lymphoma Society of America San Diego County,Education,9150 Chesapeake Drive #100,San Diego           ,CA  ,92123,555-123-7738,fake17738@email.com
2988,After-school homework help/tutoring,Tutor students after school in San Diego           ,17738,Leukemia &Lymphoma Society of America San Diego County,Education,9150 Chesapeake Drive #100,San Diego           ,CA  ,92123,555-123-7738,fake17738@email.com
2989,Mentoring,Mentor a Teenager in San Diego           ,17738,Leukemia &Lymphoma Society of America San Diego County,Education,9150 Chesapeake Drive #100,San Diego           ,CA  ,92123,555-123-7738,fake17738@email.com
2990,Graduations,Help at a High School student graduation ceremony in San Diego           ,17738,Leukemia &Lymphoma Society of America San Diego County,Education,9150 Chesapeake Drive #100,San Diego           ,CA  ,92123,555-123-7738,fake17738@email.com
2991,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Orange              ",17718,Lestonnac Free Clinic                                                                                                   ,BasicNeeds,1215 E Champman ,Orange              ,CA  ,92866,555-123-7718,fake17718@email.com
2992,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Orange              ,17718,Lestonnac Free Clinic                                                                                                   ,BasicNeeds,1215 E Champman ,Orange              ,CA  ,92866,555-123-7718,fake17718@email.com
2993,Donation sorting,Help Process Gifts for an Organization in Orange              ,17718,Lestonnac Free Clinic                                                                                                   ,BasicNeeds,1215 E Champman ,Orange              ,CA  ,92866,555-123-7718,fake17718@email.com
2994,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Orange              ,17718,Lestonnac Free Clinic                                                                                                   ,BasicNeeds,1215 E Champman ,Orange              ,CA  ,92866,555-123-7718,fake17718@email.com
2995,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Orange              ,17718,Lestonnac Free Clinic                                                                                                   ,BasicNeeds,1215 E Champman ,Orange              ,CA  ,92866,555-123-7718,fake17718@email.com
2996,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in La Verne            ",17715,Leroy Haynes Center For Children                                                                                        ,BasicNeeds,233 W Baseline Rd ,La Verne            ,CA  ,91750,555-123-7715,fake17715@email.com
2997,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in La Verne            ,17715,Leroy Haynes Center For Children                                                                                        ,BasicNeeds,233 W Baseline Rd ,La Verne            ,CA  ,91750,555-123-7715,fake17715@email.com
2998,Donation sorting,Help Process Gifts for an Organization in La Verne            ,17715,Leroy Haynes Center For Children                                                                                        ,BasicNeeds,233 W Baseline Rd ,La Verne            ,CA  ,91750,555-123-7715,fake17715@email.com
2999,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in La Verne            ,17715,Leroy Haynes Center For Children                                                                                        ,BasicNeeds,233 W Baseline Rd ,La Verne            ,CA  ,91750,555-123-7715,fake17715@email.com
3000,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in La Verne            ,17715,Leroy Haynes Center For Children                                                                                        ,BasicNeeds,233 W Baseline Rd ,La Verne            ,CA  ,91750,555-123-7715,fake17715@email.com
3001,Childcare,Help provide childcare at an agency serving families in poverty in Los Angeles         ,17693,Legal Aid Foundation Los Angeles                                                                                        ,Income,1102 Crenshaw Boulevard 2nd Floor,Los Angeles         ,CA  ,90019,555-123-7693,fake17693@email.com
3002,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Los Angeles         ,17693,Legal Aid Foundation Los Angeles                                                                                        ,Income,1102 Crenshaw Boulevard 2nd Floor,Los Angeles         ,CA  ,90019,555-123-7693,fake17693@email.com
